Episode 149: Reward = [1471.7828], lambda_i = 4, phi = 0.32990726362365475, phi_i_L = 0.01, phi_i_H = 0.5015625
Episode 150: Reward = [1401.0576], lambda_i = 2, phi = 6.083946704653479, phi_i_L = 5.0, phi_i_H = 6.5093749999999995
Episode 151: Reward = [1501.4672], lambda_i = 2, phi = 6.083946704653479, phi_i_L = 5.0, phi_i_H = 6.5093749999999995
Episode 152: Reward = [1416.1713], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
Episode 153: Reward = [1471.9912], lambda_i = 0, phi = 4.2552035574907014, phi_i_L = 3.8, phi_i_H = 4.9001953125
Episode 154: Reward = [1434.4138], lambda_i = 0, phi = 4.2552035574907014, phi_i_L = 3.8, phi_i_H = 4.9001953125
Episode 155: Reward = [1438.2454], lambda_i = 2, phi = 6.083946704653479, phi_i_L = 5.0, phi_i_H = 6.5093749999999995
Episode 156: Reward = [1459.236], lambda_i = 5, phi = 0.42761074134399396, phi_i_L = 0.01, phi_i_H = 0.5132812499999999
Episode 157: Reward = [1458.1862], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 158: Reward = [1588.8824], lambda_i = 4, phi = 0.32990726362365475, phi_i_L = 0.01, phi_i_H = 0.5015625
Episode 159: Reward = [1528.2853], lambda_i = 2, phi = 6.083946704653479, phi_i_L = 5.0, phi_i_H = 6.5093749999999995
Episode 160: Reward = [1408.7847], lambda_i = 1, phi = 2.7207265372469958, phi_i_L = 2.7, phi_i_H = 3.600390625
Episode 161: Reward = [1442.4346], lambda_i = 2, phi = 6.083946704653479, phi_i_L = 5.0, phi_i_H = 6.5093749999999995
Episode 162: Reward = [1405.0016], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 163: Reward = [1425.3595], lambda_i = 0, phi = 4.2552035574907014, phi_i_L = 3.8, phi_i_H = 4.9001953125
Episode 164: Reward = [1486.1616], lambda_i = 2, phi = 6.083946704653479, phi_i_L = 5.0, phi_i_H = 6.5093749999999995
Episode 165: Reward = [1420.0596], lambda_i = 1, phi = 2.7208241934969957, phi_i_L = 2.7, phi_i_H = 3.60048828125
Episode 166: Reward = [1403.0444], lambda_i = 5, phi = 0.42761074134399396, phi_i_L = 0.01, phi_i_H = 0.5132812499999999
Episode 167: Reward = [1443.8724], lambda_i = 3, phi = 0.27699098260034855, phi_i_L = 0.01, phi_i_H = 0.575048828125
Episode 168: Reward = [1493.833], lambda_i = 5, phi = 0.42761074134399396, phi_i_L = 0.01, phi_i_H = 0.5132812499999999
Episode 169: Reward = [1422.2156], lambda_i = 5, phi = 0.42761074134399396, phi_i_L = 0.01, phi_i_H = 0.5132812499999999
Episode 170: Reward = [1448.2617], lambda_i = 3, phi = 0.27699098260034855, phi_i_L = 0.01, phi_i_H = 0.575048828125
Episode 171: Reward = [1434.3394], lambda_i = 3, phi = 0.2770153966628485, phi_i_L = 0.01, phi_i_H = 0.5750732421875
Episode 172: Reward = [1420.1765], lambda_i = 1, phi = 2.7208241934969957, phi_i_L = 2.7, phi_i_H = 3.60048828125
Episode 173: Reward = [1364.1782], lambda_i = 0, phi = 4.2552035574907014, phi_i_L = 3.8, phi_i_H = 4.9001953125
Episode 174: Reward = [1491.8931], lambda_i = 4, phi = 0.32990726362365475, phi_i_L = 0.01, phi_i_H = 0.5015625
Episode 175: Reward = [1468.9579], lambda_i = 2, phi = 6.083946704653479, phi_i_L = 5.0, phi_i_H = 6.5093749999999995
Episode 176: Reward = [1367.1135], lambda_i = 5, phi = 0.42762294837524395, phi_i_L = 0.01, phi_i_H = 0.51329345703125
Episode 177: Reward = [1414.2273], lambda_i = 2, phi = 6.083946704653479, phi_i_L = 5.0, phi_i_H = 6.5093749999999995
Episode 178: Reward = [1408.6908], lambda_i = 1, phi = 2.7208241934969957, phi_i_L = 2.7, phi_i_H = 3.60048828125
Episode 179: Reward = [1423.5476], lambda_i = 4, phi = 0.32990726362365475, phi_i_L = 0.01, phi_i_H = 0.5015625
Episode 180: Reward = [1372.4075], lambda_i = 4, phi = 0.32991336713927977, phi_i_L = 0.01, phi_i_H = 0.501568603515625
Episode 181: Reward = [1216.822], lambda_i = 5, phi = 0.42762294837524395, phi_i_L = 0.01, phi_i_H = 0.51329345703125
Episode 182: Reward = [1187.7523], lambda_i = 4, phi = 0.32991336713927977, phi_i_L = 0.01, phi_i_H = 0.501568603515625
Episode 183: Reward = [1435.1919], lambda_i = 1, phi = 2.7208241934969957, phi_i_L = 2.7, phi_i_H = 3.60048828125
Episode 184: Reward = [1526.402], lambda_i = 4, phi = 0.32991336713927977, phi_i_L = 0.01, phi_i_H = 0.501568603515625
Episode 185: Reward = [1414.7069], lambda_i = 5, phi = 0.42762294837524395, phi_i_L = 0.01, phi_i_H = 0.51329345703125
Episode 186: Reward = [1471.6047], lambda_i = 4, phi = 0.32991336713927977, phi_i_L = 0.01, phi_i_H = 0.501568603515625
Episode 187: Reward = [1304.3827], lambda_i = 4, phi = 0.32991336713927977, phi_i_L = 0.01, phi_i_H = 0.501568603515625
Episode 188: Reward = [1522.7163], lambda_i = 1, phi = 2.7208241934969957, phi_i_L = 2.7, phi_i_H = 3.60048828125
Episode 189: Reward = [1424.5342], lambda_i = 2, phi = 6.083946704653479, phi_i_L = 5.0, phi_i_H = 6.5093749999999995
Episode 190: Reward = [1623.3707], lambda_i = 3, phi = 0.2770153966628485, phi_i_L = 0.01, phi_i_H = 0.5750732421875
Episode 191: Reward = [1647.291], lambda_i = 4, phi = 0.32991336713927977, phi_i_L = 0.01, phi_i_H = 0.501568603515625
Episode 192: Reward = [1484.0336], lambda_i = 2, phi = 6.083953113344885, phi_i_L = 5.0, phi_i_H = 6.5093814086914055
Episode 193: Reward = [1401.1581], lambda_i = 0, phi = 4.255206761836405, phi_i_L = 3.8, phi_i_H = 4.900198516845704
Episode 194: Reward = [1465.2506], lambda_i = 3, phi = 0.2770153966628485, phi_i_L = 0.01, phi_i_H = 0.5750732421875
Episode 195: Reward = [1573.43], lambda_i = 4, phi = 0.32991336713927977, phi_i_L = 0.01, phi_i_H = 0.501568603515625
Episode 196: Reward = [1588.3096], lambda_i = 2, phi = 6.083953113344885, phi_i_L = 5.0, phi_i_H = 6.5093814086914055
Episode 197: Reward = [1707.0192], lambda_i = 3, phi = 0.2770153966628485, phi_i_L = 0.01, phi_i_H = 0.5750732421875
Episode 198: Reward = [1534.4656], lambda_i = 3, phi = 0.2770153966628485, phi_i_L = 0.01, phi_i_H = 0.5750732421875
Episode 199: Reward = [1527.2471], lambda_i = 3, phi = 0.2770153966628485, phi_i_L = 0.01, phi_i_H = 0.5750732421875
Episode 200: Reward = [1448.6296], lambda_i = 1, phi = 2.7208241934969957, phi_i_L = 2.7, phi_i_H = 3.60048828125
Episode 201: Reward = [1634.0627], lambda_i = 2, phi = 6.083953113344885, phi_i_L = 5.0, phi_i_H = 6.5093814086914055
Episode 202: Reward = [1585.8208], lambda_i = 2, phi = 6.083953113344885, phi_i_L = 5.0, phi_i_H = 6.5093814086914055
