Episode 172: Reward = [1511.4967], lambda_i = 5, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 173: Reward = [1419.9481], lambda_i = 5, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 174: Reward = [1448.7496], lambda_i = 5, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 175: Reward = [1495.5566], lambda_i = 1, phi = 3.1999999999999997, phi_i_L = 2.3, phi_i_H = 3.1999999999999997
Episode 176: Reward = [1578.7101], lambda_i = 4, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 177: Reward = [805.64453], lambda_i = 0, phi = 4.5, phi_i_L = 3.6, phi_i_H = 4.5
Episode 178: Reward = [1460.7339], lambda_i = 0, phi = 3.6, phi_i_L = 3.6, phi_i_H = 4.5
Episode 179: Reward = [1502.4252], lambda_i = 1, phi = 3.1999999999999997, phi_i_L = 2.3, phi_i_H = 3.1999999999999997
Episode 180: Reward = [1429.4241], lambda_i = 4, phi = 0.4, phi_i_L = 0.101, phi_i_H = 0.4
Episode 181: Reward = [1417.7427], lambda_i = 1, phi = 3.1999999999999997, phi_i_L = 2.3, phi_i_H = 3.1999999999999997
Episode 182: Reward = [1444.4037], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.4
Episode 183: Reward = [1447.6869], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 184: Reward = [1491.3379], lambda_i = 4, phi = 0.4, phi_i_L = 0.101, phi_i_H = 0.4
Episode 185: Reward = [1423.3384], lambda_i = 4, phi = 0.4, phi_i_L = 0.101, phi_i_H = 0.4
Episode 186: Reward = [1504.2787], lambda_i = 3, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 187: Reward = [1463.3378], lambda_i = 3, phi = 0.4, phi_i_L = 0.101, phi_i_H = 0.4
Episode 188: Reward = [1523.4528], lambda_i = 5, phi = 0.4, phi_i_L = 0.0, phi_i_H = 0.4
Episode 189: Reward = [1386.2479], lambda_i = 3, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 190: Reward = [1389.4469], lambda_i = 4, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 191: Reward = [1433.656], lambda_i = 4, phi = 0.0010000000000000009, phi_i_L = 0.0010000000000000009, phi_i_H = 0.4
Episode 192: Reward = [1431.6511], lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 193: Reward = [1434.1211], lambda_i = 5, phi = 0.4, phi_i_L = 0.0, phi_i_H = 0.4
Episode 194: Reward = [1499.1733], lambda_i = 4, phi = 0.0010000000000000009, phi_i_L = 0.0010000000000000009, phi_i_H = 0.4
Episode 195: Reward = [1519.6328], lambda_i = 0, phi = 3.6, phi_i_L = 3.6, phi_i_H = 4.5
Episode 196: Reward = [1426.1569], lambda_i = 3, phi = 0.4, phi_i_L = 0.101, phi_i_H = 0.4
Episode 197: Reward = [1395.816], lambda_i = 4, phi = 0.4, phi_i_L = 0.0010000000000000009, phi_i_H = 0.4
Episode 198: Reward = [1410.8127], lambda_i = 5, phi = 0.0, phi_i_L = 0.0, phi_i_H = 0.4
Episode 199: Reward = [1381.365], lambda_i = 4, phi = 0.4, phi_i_L = 0.0010000000000000009, phi_i_H = 0.4
Episode 200: Reward = [1436.3497], lambda_i = 3, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 201: Reward = [1255.622], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.5
Episode 202: Reward = [1469.3016], lambda_i = 5, phi = 0.0, phi_i_L = 0.0, phi_i_H = 0.4
Episode 203: Reward = [1490.5208], lambda_i = 0, phi = 4.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 204: Reward = [1525.1542], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.5
