#{"t_start": 1726155755.3063045, "env_id": "CustomHopper-v0"}
r,l,t
307.608638,124,124.118696
326.789132,139,124.266147
328.45215,140,124.419496
351.231546,138,124.588914
317.040316,135,124.726342
344.96037,138,124.886167
305.97575,132,125.026457
328.50092,134,125.149815
335.976706,141,125.305216
307.902037,130,125.452044
291.480247,125,125.593479
294.84474,126,125.741524
321.029467,139,125.91091
240.828416,101,128.037539
89.506731,52,128.107728
346.270694,141,128.285017
304.161783,127,128.437952
316.761861,135,128.590378
321.936808,127,128.736978
92.596776,53,128.799422
331.909373,137,128.956897
347.218153,139,129.161788
304.180185,126,129.304502
312.964985,129,129.450688
333.12605,134,129.594585
192.998337,98,129.712191
340.940544,144,129.866409
291.589374,121,130.007724
317.39805,135,130.169193
278.272325,116,130.312683
303.768558,132,132.270313
321.681124,137,132.44024
304.025692,123,132.586882
321.991479,132,132.811212
312.333833,134,132.999238
326.899357,133,133.161232
341.746529,140,133.376351
364.781307,144,133.559769
326.130076,138,133.716812
329.765735,136,133.88524
330.515415,137,134.066135
310.66454,130,134.208147
292.679878,126,134.358526
324.03547,132,134.551844
328.491939,130,134.749661
339.380105,147,136.731877
326.57713,140,136.898043
322.191009,142,137.078787
347.467854,145,137.25687
305.846113,127,137.429042
332.084407,138,137.59834
227.224756,110,137.749788
325.86602,137,137.916521
354.279572,149,138.115703
367.014257,160,138.304462
328.676722,135,138.458584
330.451459,139,138.617685
342.818709,143,138.807805
356.16679,155,139.025078
188.64762,86,139.136366
329.178828,142,141.193763
307.188166,125,141.330599
308.294747,133,141.494797
328.203258,145,141.66364
316.422177,128,141.806815
318.622223,134,141.949904
346.637821,139,142.107069
322.933461,139,142.263876
313.266008,128,142.417186
370.413671,150,142.590373
333.237325,139,142.811385
215.475384,95,142.909238
344.393822,136,143.081772
326.097284,133,143.251307
368.895631,144,143.449992
333.74369,140,145.502601
321.584438,134,145.671091
381.893316,159,145.856528
309.819668,137,146.004698
333.783342,140,146.181657
324.897444,132,146.326165
353.704419,142,146.490608
343.188702,146,146.651206
324.841967,137,146.833641
313.244096,126,146.981027
348.951055,136,147.132935
310.694614,130,147.284707
348.53286,137,147.473511
355.224008,148,147.660972
316.484899,137,147.894858
320.986301,135,150.029681
354.947856,138,150.178692
344.839474,143,150.333233
331.037073,143,150.493273
333.29713,136,150.639876
363.45777,146,150.805395
314.43896,137,151.015142
346.924161,137,151.184865
304.228493,132,151.33406
333.832989,138,151.493396
328.229773,140,151.661148
366.361396,148,151.837883
315.45409,138,152.009392
250.614023,107,152.154446
331.617846,142,152.340227
408.266913,155,154.50936
189.323946,89,154.613558
322.443319,135,154.775336
271.464967,115,154.914344
412.124956,170,155.111616
309.981701,138,155.271542
318.13395,134,155.42051
369.126382,142,155.575978
550.709173,200,155.774571
210.18234,96,155.873376
337.719231,139,156.015148
320.427815,128,156.180989
328.796245,137,156.390784
366.841461,147,156.604296
297.823633,122,156.760166
345.873805,134,158.72114
365.444673,143,158.885507
391.152147,146,159.056648
348.686829,135,159.254531
357.39994,142,159.422282
325.808011,140,159.590348
410.030522,155,159.763674
345.585029,140,159.92987
423.189746,158,160.116659
399.404956,153,160.28947
325.652938,131,160.435841
179.754565,88,160.553609
368.464323,147,160.754161
346.601528,143,160.952807
383.128161,152,161.164347
341.000442,134,163.248675
388.951236,145,163.418636
360.853838,142,163.594968
330.132117,141,163.761527
335.888543,146,163.935104
324.407221,141,164.090132
165.938884,81,164.174357
345.448122,130,164.313708
331.28312,136,164.474111
333.508728,142,164.674051
333.046306,139,164.828102
312.988501,128,165.004757
329.584121,132,165.191361
397.838199,149,165.388784
345.158626,133,165.563645
337.766681,141,167.591031
344.1714,140,167.774838
353.828264,153,167.981063
317.571284,139,168.137054
327.23967,138,168.3049
326.925891,135,168.441207
416.520597,164,168.638782
356.095864,146,168.797985
381.759618,146,168.950817
329.916586,140,169.101276
377.681904,151,169.295202
376.981491,148,169.490236
377.340766,152,169.713106
360.819159,136,169.888439
479.94473,181,172.018548
497.98066,181,172.225127
399.524224,150,172.387323
399.557655,149,172.553981
357.335782,150,172.765986
327.13796,143,172.968296
330.484223,140,173.135109
403.348502,146,173.297467
379.395611,140,173.467174
417.205669,158,173.688233
458.015234,164,173.908739
166.456623,79,174.01605
396.090924,144,174.213768
360.366213,149,174.408615
282.213975,123,176.332523
357.707274,133,176.475001
298.770608,121,176.619942
469.346575,163,176.798542
391.870169,147,176.96779
399.409265,143,177.127527
493.369023,162,177.311695
469.214029,178,177.54696
469.465057,169,177.749919
383.535375,150,177.939123
535.241787,194,178.253186
372.644647,140,178.437994
284.926094,122,178.602558
310.174322,134,178.789108
647.286796,223,180.921976
349.942562,138,181.08956
333.366669,135,181.238473
440.555284,156,181.407019
524.766379,176,181.602865
388.839911,139,181.803626
353.47471,143,181.968122
317.38105,129,182.128798
539.640821,179,182.323626
396.983605,153,182.51389
